Creating Connection Diagnostics Log,,
Memory change (USS):,782336,bytes
Python memory allocated:,671068,bytes

Total time for security operations:,0.034790100,sec
End of diagnostics Log,,



Creating Payload Diagnostics Log,,
Date and Time: 08-05-2025 07:58:14,,
Operation Diagnostics,,
payload_encryption Diagnostics,,
Time:,0.000795300,sec
CPU time (user):,0.015625000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.015625000,sec
Effective CPU cores used:,19.65,x
CPU usage during operation:,104.20,%
Memory change (RSS):,36864,bytes
Memory change (USS):,0,bytes
Python memory allocated:,8273,bytes

Total time for security operations:,0.000795300,sec
End of diagnostics Log,,



Downloading Update Diagnostics Log,,
Date and Time: 08-05-2025 07:58:15,,
Operation Diagnostics,,
download_update Diagnostics,,
Time:,5.844408900,sec
CPU time (user):,0.875000000,sec
CPU time (system):,0.078125000,sec
Total CPU time:,0.953125000,sec
Effective CPU cores used:,0.16,x
CPU usage during operation:,16.30,%
Memory change (RSS):,9498624,bytes
Memory change (USS):,6729728,bytes
Python memory allocated:,956658,bytes

Peak memory usage (RSS):,50651136,bytes
Peak Python memory usage:,1343251,bytes

Total time for security operations:,5.844408900,sec
End of diagnostics Log,,



Creating Connection Diagnostics Log,,
Date and Time: 08-05-2025 08:01:30,,
Operation Diagnostics,,
create_context Diagnostics,,
Time:,0.019326600,sec
CPU time (user):,0.015625000,sec
CPU time (system):,0.015625000,sec
Total CPU time:,0.031250000,sec
Effective CPU cores used:,1.62,x
CPU usage during operation:,100.80,%
Memory change (RSS):,1273856,bytes
Memory change (USS):,253952,bytes
Python memory allocated:,2697,bytes

wrap_socket Diagnostics,,
Time:,0.040114100,sec
CPU time (user):,0.031250000,sec
CPU time (system):,0.015625000,sec
Total CPU time:,0.046875000,sec
Effective CPU cores used:,1.17,x
CPU usage during operation:,99.70,%
Memory change (RSS):,499712,bytes
Memory change (USS):,348160,bytes
Python memory allocated:,119119,bytes

wait_for_TLS_handshake Diagnostics,,
Time:,0.000525600,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,53248,bytes
Memory change (USS):,28672,bytes
Python memory allocated:,1272,bytes

Total time for security operations:,0.059966300,sec
End of diagnostics Log,,



Creating Payload Diagnostics Log,,
Date and Time: 08-05-2025 08:01:31,,
Operation Diagnostics,,
payload_encryption Diagnostics,,
Time:,0.001215700,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,57344,bytes
Memory change (USS):,0,bytes
Python memory allocated:,14787,bytes

Total time for security operations:,0.001215700,sec
End of diagnostics Log,,



Receiving Payload Diagnostics Log,,
Date and Time: 08-05-2025 08:01:32,,
Operation Diagnostics,,
payload_decryption Diagnostics,,
Time:,0.001403300,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,104.20,%
Memory change (RSS):,143360,bytes
Memory change (USS):,147456,bytes
Python memory allocated:,88061,bytes

verify_hash Diagnostics,,
Time:,0.000421500,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,36864,bytes
Memory change (USS):,131072,bytes
Python memory allocated:,74760,bytes

verify_signature Diagnostics,,
Time:,0.051647000,sec
CPU time (user):,0.031250000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.031250000,sec
Effective CPU cores used:,0.61,x
CPU usage during operation:,66.50,%
Memory change (RSS):,1998848,bytes
Memory change (USS):,1245184,bytes
Python memory allocated:,671218,bytes

Total time for security operations:,0.053471800,sec
End of diagnostics Log,,



Creating Payload Diagnostics Log,,
Date and Time: 08-05-2025 08:01:32,,
Operation Diagnostics,,
payload_encryption Diagnostics,,
Time:,0.000675000,sec
CPU time (user):,0.000000000,sec
CPU time (system):,0.000000000,sec
Total CPU time:,0.000000000,sec
Effective CPU cores used:,0.00,x
CPU usage during operation:,0.00,%
Memory change (RSS):,225280,bytes
Memory change (USS):,0,bytes
Python memory allocated:,8441,bytes

Total time for security operations:,0.000675000,sec
End of diagnostics Log,,



Downloading Update Diagnostics Log,,
Date and Time: 08-05-2025 08:01:32,,
Operation Diagnostics,,
download_update Diagnostics,,
Time:,3.129417600,sec
CPU time (user):,0.875000000,sec
CPU time (system):,0.109375000,sec
Total CPU time:,0.984375000,sec
Effective CPU cores used:,0.31,x
CPU usage during operation:,31.50,%
Memory change (RSS):,9306112,bytes
Memory change (USS):,6811648,bytes
Python memory allocated:,956123,bytes

Peak memory usage (RSS):,50302976,bytes
Peak Python memory usage:,1341745,bytes

Total time for security operations:,3.129417600,sec
End of diagnostics Log,,



